"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Mudhoney","Aleena","F","10","Kirby","231.57506","paid","Waterloo-Cedar Falls, IA","637","Get Into Yours","44"
"Carpenters","Aleena","F","11","Kirby","238.39302","paid","Waterloo-Cedar Falls, IA","637","Yesterday Once More","44"
"Kings Of Leon","Aleena","F","13","Kirby","185.28608","paid","Waterloo-Cedar Falls, IA","637","Taper Jean Girl","44"
"The Bloody Beetroots","Aleena","F","14","Kirby","201.97832","paid","Waterloo-Cedar Falls, IA","637","Warp 1.9 (feat. Steve Aoki)","44"
"Kings Of Leon","Aleena","F","15","Kirby","201.79546","paid","Waterloo-Cedar Falls, IA","637","Revelry","44"
"Euge Groove","Aleena","F","16","Kirby","265.482","paid","Waterloo-Cedar Falls, IA","637","Tenderly","44"
"Soltero","Aleena","F","17","Kirby","249.0771","paid","Waterloo-Cedar Falls, IA","637","Bleeding Hearts","44"
"Nirvana","Aleena","F","18","Kirby","257.01832","paid","Waterloo-Cedar Falls, IA","637","Lithium","44"
"Alliance Ethnik","Cecilia","F","0","Owens","252.21179","free","Atlanta-Sandy Springs-Roswell, GA","535","ReprÃÂ©sente","6"
"Lykke Li","Cecilia","F","1","Owens","232.35873","free","Atlanta-Sandy Springs-Roswell, GA","535","Melodies & Desires","6"
"The Coffee Club Orchestra","Ryan","M","1","Smith","386.76853","free","San Jose-Sunnyvale-Santa Clara, CA","622","Overture","26"
"Harmonia","Ryan","M","2","Smith","655.77751","free","San Jose-Sunnyvale-Santa Clara, CA","622","Sehr kosmisch","26"
"Alicia Keys","Mohammad","M","2","Rodriguez","182.07302","free","Sacramento--Roseville--Arden-Arcade, CA","614","Caged Bird","88"
"Crosby_ Stills & Nash","Mohammad","M","3","Rodriguez","329.19465","free","Sacramento--Roseville--Arden-Arcade, CA","614","Wooden Ships (LP Version)","88"
"R.E.M.","Ryan","M","3","Smith","241.162","free","San Jose-Sunnyvale-Santa Clara, CA","622","What's The Frequency_ Kenneth? (Radio Version)","26"
"Eric Clapton","Chloe","F","6","Cuevas","323.49995","paid","San Francisco-Oakland-Hayward, CA","636","My Father's Eyes","49"
"Godley & Creme","Chloe","F","7","Cuevas","237.81832","paid","San Francisco-Oakland-Hayward, CA","636","Cry","49"
"Ron Carter","Chloe","F","8","Cuevas","497.13587","paid","San Francisco-Oakland-Hayward, CA","636","I CAN'T GET STARTED","49"
"Timbaland / Keri Hilson / D.O.E.","Tegan","F","0","Levine","179.25179","paid","Portland-South Portland, ME","620","The Way I Are","80"
"Everything But The Girl","Chloe","F","9","Cuevas","295.73179","paid","San Francisco-Oakland-Hayward, CA","636","Missing","49"
"Big Mountain","Tegan","F","1","Levine","249.52118","paid","Portland-South Portland, ME","620","Baby_ I Love Your Way (Album Version)","80"
"Gotan Project","Chloe","F","10","Cuevas","315.81995","paid","San Francisco-Oakland-Hayward, CA","636","Queremos Paz","49"
"Washed Out","Tegan","F","2","Levine","173.40036","paid","Portland-South Portland, ME","620","Belong","80"
"OutKast","Tegan","F","3","Levine","312.13669","paid","Portland-South Portland, ME","620","My Favorite Things","80"
"Black Sabbath","Chloe","F","11","Cuevas","388.64934","paid","San Francisco-Oakland-Hayward, CA","636","Symptom Of The Universe","49"
"Late Night Alumni","Tegan","F","4","Levine","226.76853","paid","Portland-South Portland, ME","620","Uncharted","80"
"Slightly Stoopid","Chloe","F","12","Cuevas","293.82485","paid","San Francisco-Oakland-Hayward, CA","636","This Joint","49"
"Beastie Boys","Tegan","F","5","Levine","211.722","paid","Portland-South Portland, ME","620","Unite (2009 Digital Remaster)","80"
"The Killers","Tegan","F","6","Levine","222.95465","paid","Portland-South Portland, ME","620","Who Let You Go?","80"
"Riverside","Chloe","F","13","Cuevas","236.2771","paid","San Francisco-Oakland-Hayward, CA","636","Stuck Between","49"
"Flobots","Tegan","F","7","Levine","246.07302","paid","Portland-South Portland, ME","620","Good Soldier","80"
"Lighthouse Family","Chloe","F","14","Cuevas","307.53914","paid","San Francisco-Oakland-Hayward, CA","636","High","49"
"Jack Johnson","Tegan","F","8","Levine","144.06485","paid","Portland-South Portland, ME","620","Do You Remember","80"
"Incubus","Chloe","F","15","Cuevas","229.22404","paid","San Francisco-Oakland-Hayward, CA","636","Pardon Me","49"
"Edwyn Collins","Tegan","F","9","Levine","235.91138","paid","Portland-South Portland, ME","620","A Girl Like You","80"
"Joshua Radin","Chloe","F","16","Cuevas","182.62159","paid","San Francisco-Oakland-Hayward, CA","636","The Fear You Won't Fall","49"
"Bon Iver","Chloe","F","17","Cuevas","116.89751","paid","San Francisco-Oakland-Hayward, CA","636","Team","49"
"Nipsey Hussle","Chloe","F","18","Cuevas","170.34404","paid","San Francisco-Oakland-Hayward, CA","636","Its Hard Out Here","49"
"Bebo & Cigala","Tegan","F","11","Levine","331.15383","paid","Portland-South Portland, ME","620","Lagrimas Negras","80"
